id,fecha,usuario,ubicacion_perfil,texto
2005066025910272457,2025-12-27 23:59:27+00:00,AH_PERO_MILEI,Argentina,@JavierchusOk @YPFoficial @YPFServiclub Lloraba la puta
2005065998928675240,2025-12-27 23:59:21+00:00,marceloduclos,"Ciudad Autónoma de Buenos Aires, Argentina",@SergioChouza @GordoLeyes Otra cosa q seguro tampoco hace: pensar q con milei se perdieron derechos
2005065767507952078,2025-12-27 23:58:25+00:00,enrique_pc,córdoba,"@Yaco_Emiliano Viste como van cayendo TODOS. Tapia, tobillito millonario, pronto Tinelli, los Echarri de la vida y también los Yaco viajeros con la nuestra. Todos, todEs, todis, todus presos. Ya estoy empachado de pochoclo, basta Milei"
2005065585269616794,2025-12-27 23:57:42+00:00,angel9084795647,"Vicente López, Argentina","@Clau_Pitt @Andy_TToledo Y seguira con vida,no se le desea el mal a nadie y si es así Milei está matando silenciosamente  a muchos jubilados negandoles los medicamentos y las operaciones ."
2005065487018037373,2025-12-27 23:57:19+00:00,DanielCantale,Buenos Aires,@capitan_crudo @Migraciones_AR @florenciarietto @dievalen @AleMonteoliva @PatoBullrich @LLibertadAvanza @FuerzasDelCielo @MinSeguridad_Ar @agustinromm @laderechadiario @KalinaAnnGG Todos esos que mencionás son parte del problema. Fue Milei quien legitimó esto con el Decreto 646/2025. todo por un crédito pedorro para ganar las elecciones. Vamos a verlos cuando empiecen a violar y matar mujeres y niños.
2005065383112573328,2025-12-27 23:56:54+00:00,Jackes_is_back,Principado de CABA ,"@GordoLeyes @lajuliaeva Más respeto con Copperfield, que le financió la campaña a Milei."
2004350124928172352,2025-12-26 00:34:43+00:00,FedericoConditi,"Buenos Aires, Argentina","La Autoridades de @TrenesArg  ponen publicidades que incentivan el uso de otros modos con los que se ""llega mejor"" a destino en vez de realizar campañas para fomentar la demanda  El poco amor por nuestros trenes, la mala gestión, la incapacidad y la desidia no tienen precedentes https://t.co/OkfFUNVQkG"
2005065271015604550,2025-12-27 23:56:27+00:00,llamaquellamea,Argentina,@Thomasjay_2 @AnaGa_SC @intisumaj2 Jajajajajaajajaja Y compara a Milei con el gobierno del inútil de ojitos claros.  Después tiene la cara tan dura (y el culo tan roto) de llamar boludo a alguien 😂  Cosiiiita
2005065181119001071,2025-12-27 23:56:06+00:00,Maineimisd,"Buenos Aires, Argentina",El otro día un hombre de 70 y pico me chusmeó que le atendió el mismo psiquiatra que atendió a Milei hace unos años y le contó que el presidente tiene diagnosticado ESQUIZOFRENIA! yo le creo
2005064749642588438,2025-12-27 23:54:23+00:00,DanielCantale,Buenos Aires,"@fededomin Y ninguno salvo Milei, permitió la invasión de musulmanes y africanos como lo hizo Milei con el decreto 646/2025. Cuando empiecen a violar y matar mujeres y niños vamos a ver que dicen libertruchos... van a terminar de destruir lo poco que quedó"
2005064652875776376,2025-12-27 23:54:00+00:00,contestele,"Buenos Aires, Argentina",@SoyFeudaleM @MConurbasic es milei pero a los 20 años.
2004736666519674942,2025-12-27 02:10:42+00:00,intisumaj2,Argentina 🇦🇷⭐⭐⭐,Insisto. Es practicamente imposible que el gobierno de Milei sea reelegido.
2005064279893180584,2025-12-27 23:52:31+00:00,MatiasMoraok,Argentina,@eMeAGP Milei te revienta a impuestos. Nunca estuvo tan caro todo. Pésima gestión.
2004673008238034966,2025-12-26 21:57:44+00:00,Tcristina77,Argentina de Corazón 🇦🇷,"LA CARA DE LOS ZURDOS AL OÍR LA VERDAD INCÓMODA!!! Verle la cara a Lula cuando Javier dice la verdad es IMPAGABLE. No existe comparación en lo absoluto entre @JMilei y Lula, no sólo por su Liderazgo, sino por la calidad humana, Javier es un ser íntegro, ha dado hasta la última gota de sudor y de sangre para sacar adelante a su nación y ya con eso, no hay comparación con ese ZURDO nefasto. AMO de sobremanera los discursos de @JMilei es la VERDAD MISMA.🫂🦁❤️‍🔥"
2005064171885654473,2025-12-27 23:52:05+00:00,Tucutux,Argentina - Buenos Aires,"Este es el último posteo de ""Argentinos por la Educación"". Es del 16 de diciembre. En ninguna de sus redes este grupo ha dicho algo sobre el ataque a la educación pública que ha perpetrado Milei.  Cómo buena facción consevadora  cuestiona por izquierda pero banca la destrucción."
2001049117963825159,2025-12-16 21:57:42+00:00,ArgxEdu,"Buenos Aires, Argentina","“Si fuera ministro, elegiría trabajar por la lectura como mi programa insignia, porque sé que va a funcionar. A diferencia de otras cosas en las que estamos adivinando o no estamos seguros, la lectura es una cuestión lógica en la cual poner energía. Hay muy pocas cosas en las que podés estar tan confiado en educación. No significa que sea fácil ni que no tengas que trabajar muy duro, pero sí que, con ese nivel de energía y expectativa, es posible. Y la razón es que los chicos son capaces. Somos nosotros, como hacedores de políticas y sociedad civil, quienes no hemos hecho lo suficiente”.  Ben Piper - Director of the Global Education Programme, Gates Foundation, en el Encuentro Regional del Movimiento por la Comprensión Lectora."
2005063997175800273,2025-12-27 23:51:23+00:00,Carlos31482838,ARGENTINA,"@ElVengador1945 Es justo lo q hizo Milei, en cuestiones económicas siempre ha priorizado a los chicos con la AUH"
2005063960564007093,2025-12-27 23:51:15+00:00,jrdorenoticias,EL PALOMAR  . BUENOS AIRES .,"@nadiajmarquez @JMilei "" MILEI LOGRO TRANSFORMAR EL CONGRESO EN LO QUE QUERIA UN PODER DE LA NACION TOTALMENTE DESPRESTIGIADO AL QUE LLAMO RATAS  ENSOBRADOS ETC ""  "" LO MISMO HIZO CON LA JUSTICIA  LOGRO DESPRESTIGIARLA DE TAL MANERA QUE LA GENTE LOS ODIA CREE QUE TODOS SON CORRUPTOS Y CORPORATIVOS """
2005063711409500440,2025-12-27 23:50:15+00:00,PochodeLobos,"Buenos Aires, Argentina",@RAMIROMARRA acá los delincuentes son Milei la Hernana y Macri
2005063708460880380,2025-12-27 23:50:15+00:00,sitioandinomza,"Mendoza, Argentina","#Política | Javier Milei confirmó que Argentina pagará la deuda de enero y defendió el déficit cero como ""un límite moral"" https://t.co/gVkKn7ICWz"
2004883545073025349,2025-12-27 11:54:20+00:00,marcalpalazzolo,"Buenos Aires, Argentina","🇦🇷 | BASURA HUMANA: El economista ultrakirchnerista Emanuel Álvarez Agis deseó que el 2026 sea un mal año para Argentina: ""Me preocuparía que el año que viene fuera bueno para el Gobierno. Preferiría tener un año malo"".   ¿QUE LE DIRÍAS? https://t.co/1994yLY8mh"
2005063442718490703,2025-12-27 23:49:11+00:00,gastonalmaraz75,"Rafael Castillo,Argentina",@MateconMote El gobierno de Milei da pena
